time_sec,x,y,yaw
2.000000,-0.000001,-0.000000,0.000001
3.000000,-0.000001,-0.000000,0.000001
4.000000,-0.000001,-0.000000,0.000001
5.000000,-0.000001,-0.000000,0.000001
6.000000,-0.000001,-0.000000,0.000001
7.000000,-0.000001,-0.000000,0.000001
8.000000,-0.000001,-0.000000,0.000001
9.000000,0.496154,0.037080,0.149189
10.000000,0.994648,0.046739,-0.110848
11.000000,1.493654,0.045673,0.107050
12.000000,1.988289,0.000358,-0.290381
13.000000,2.106388,-0.029197,-0.199276
14.000000,2.226088,-0.049350,-0.134379
15.000000,2.346749,-0.062675,-0.085614
16.000000,2.467927,-0.069877,-0.033111
17.000000,2.589310,-0.069823,0.034027
18.000000,2.705349,-0.056755,0.190349
19.000000,2.816435,-0.021282,0.427915
20.000000,2.915420,0.040277,0.684848
21.000000,2.994766,0.125610,0.958639
22.000000,3.051484,0.227570,1.167599
23.000000,3.088406,0.338337,1.330440
24.000000,3.107000,0.453608,1.491306
25.000000,3.110225,0.570398,1.594946
26.000000,3.103625,0.687078,1.659630
27.000000,3.091068,0.803282,1.697211
28.000000,3.075300,0.919099,1.714995
29.000000,3.058985,1.034841,1.706645
30.000000,3.045870,1.136790,1.690819
31.000000,3.034724,1.238958,1.668104
32.000000,3.026132,1.341371,1.640882
33.000000,3.020451,1.443986,1.611322
34.000000,3.017829,1.546725,1.581287
35.000000,3.018240,1.649496,1.552312
36.000000,3.021512,1.752217,1.525601
37.000000,3.027362,1.854824,1.502086
38.000000,3.035637,1.957264,1.478295
39.000000,3.045880,2.059527,1.463654
40.000000,3.057233,2.161674,1.456573
41.000000,3.068960,2.263779,1.456311
42.000000,3.079881,2.365972,1.472385
43.000000,3.088008,2.468420,1.510969
44.000000,3.090664,2.571142,1.578949
45.000000,3.082072,2.674587,1.728461
46.000000,3.054151,2.774427,1.958596
47.000000,3.002436,2.864179,2.228509
48.000000,2.929222,2.937508,2.482286
49.000000,2.841445,2.992794,2.676694
50.000000,2.744921,3.030868,2.855041
51.000000,2.643450,3.052757,3.003175
52.000000,2.540003,3.061994,3.101795
53.000000,2.436125,3.062523,-3.112014
54.000000,2.277793,3.053224,-3.053879
55.000000,2.119735,3.039171,-3.051998
56.000000,1.961378,3.029339,-3.107235
57.000000,1.802722,3.027190,3.134333
58.000000,1.644096,3.031093,3.099670
59.000000,1.485675,3.040084,3.070127
60.000000,1.327631,3.054206,3.034821
61.000000,1.169997,3.072402,3.018532
62.000000,1.012530,3.092002,3.017012
63.000000,0.854997,3.111060,3.025416
64.000000,0.697083,3.126564,3.062061
65.000000,0.538589,3.133559,3.132950
66.000000,0.380182,3.125841,-3.035546
67.000000,0.226787,3.087303,-2.755189
68.000000,0.092573,3.004066,-2.417693
69.000000,-0.009318,2.883160,-2.124454
70.000000,-0.075037,2.739183,-1.873592
71.000000,-0.107334,2.584079,-1.678708
72.000000,-0.114031,2.425652,-1.547436
73.000000,-0.104398,2.267300,-1.472753
74.000000,-0.086464,2.109640,-1.442356
75.000000,-0.065195,1.952391,-1.430367
76.000000,0.002183,1.457298,-1.440723
77.000000,0.029999,0.958536,-1.589584
78.000000,0.024368,0.458572,-1.574369
79.000000,0.024366,0.458072,-1.574354
80.000000,0.024366,0.458072,-1.574354
81.000000,0.024366,0.458072,-1.574354
82.000000,0.024366,0.458072,-1.574354
83.000000,0.024366,0.458072,-1.574354
84.000000,0.024366,0.458072,-1.574354
85.000000,0.024366,0.458072,-1.574354
