x,y,v,t
0,0,0.5,0.0
0.0460787,0.0504253,0.5,0.136616
0.0922163,0.100844,0.5,0.273301
0.138472,0.15125,0.5,0.410127
0.184904,0.201637,0.5,0.547165
0.231573,0.251998,0.5,0.684485
0.278536,0.302328,0.5,0.82216
0.325853,0.352619,0.5,0.960262
0.373583,0.402865,0.5,1.09887
0.421784,0.45306,0.5,1.23805
0.470516,0.503197,0.5,1.37789
0.519838,0.553271,0.5,1.51846
0.569809,0.603274,0.5,1.65984
0.620487,0.653201,0.5,1.80212
0.671932,0.703044,0.5,1.94538
0.724202,0.752798,0.5,2.08971
0.777357,0.802456,0.5,2.23519
0.831455,0.852011,0.5,2.38192
0.886555,0.901458,0.5,2.52999
0.942718,0.95079,0.5,2.67949
1,1,0.5,2.83053
1,1,0.327293,2.83053
1.0461,1.03878,0.327293,3.01461
1.0929,1.07729,0.327293,3.19976
1.14034,1.11532,0.327293,3.38554
1.18838,1.15269,0.327293,3.57149
1.23696,1.18919,0.327293,3.75716
1.28605,1.22464,0.327293,3.94216
1.3356,1.25883,0.327293,4.12609
1.38555,1.29157,0.327293,4.30858
1.43587,1.32266,0.327293,4.4893
1.48651,1.35191,0.327293,4.66797
1.53741,1.37912,0.327293,4.84434
1.58854,1.4041,0.327293,5.0182
1.63985,1.42665,0.327293,5.18943
1.69128,1.44657,0.327293,5.35796
1.7428,1.46367,0.327293,5.52381
1.79436,1.47775,0.327293,5.6871
1.8459,1.48863,0.327293,5.84805
1.89739,1.49609,0.327293,6.007
1.94877,1.49994,0.327293,6.16443
2,1.5,0.327293,6.32096
2,1.5,0.327293,6.32096
2.05104,1.49613,0.327293,6.47737
2.1019,1.48853,0.327293,6.63449
2.15259,1.47743,0.327293,6.79303
2.20312,1.46309,0.327293,6.9535
2.2535,1.44577,0.327293,7.11627
2.30374,1.42572,0.327293,7.28156
2.35386,1.40319,0.327293,7.44946
2.40387,1.37844,0.327293,7.61995
2.45379,1.35171,0.327293,7.79295
2.50362,1.32327,0.327293,7.96825
2.55338,1.29336,0.327293,8.14563
2.60307,1.26224,0.327293,8.32479
2.65272,1.23016,0.327293,8.5054
2.70234,1.19737,0.327293,8.6871
2.75193,1.16413,0.327293,8.86951
2.80152,1.13069,0.327293,9.05224
2.8511,1.09731,0.327293,9.23488
2.9007,1.06423,0.327293,9.41704
2.95033,1.03171,0.327293,9.59833
3,1,0.327293,9.77837
3,1,0.5,9.77837
3.04972,0.969305,0.5,9.89523
3.09949,0.939609,0.5,10.0111
3.1493,0.910846,0.5,10.1262
3.19916,0.882948,0.5,10.2404
3.24905,0.85585,0.5,10.354
3.29899,0.829485,0.5,10.4669
3.34895,0.803786,0.5,10.5793
3.39895,0.778686,0.5,10.6912
3.44897,0.754119,0.5,10.8027
3.49901,0.730018,0.5,10.9137
3.54908,0.706317,0.5,11.0245
3.59916,0.682948,0.5,11.1351
3.64925,0.659847,0.5,11.2454
3.69936,0.636945,0.5,11.3556
3.74947,0.614176,0.5,11.4656
3.79958,0.591474,0.5,11.5757
3.84969,0.568772,0.5,11.6857
3.8998,0.546004,0.5,11.7958
3.94991,0.523102,0.5,11.906
4,0.5,0.5,12.0163
4,0.5,0.5,12.0163
4.05008,0.476645,0.5,12.1268
4.10015,0.453037,0.5,12.2375
4.15021,0.42919,0.5,12.3484
4.20025,0.405115,0.5,12.4595
4.25029,0.380828,0.5,12.5707
4.30031,0.356341,0.5,12.6821
4.35033,0.331667,0.5,12.7937
4.40034,0.306821,0.5,12.9053
4.45034,0.281814,0.5,13.0171
4.50033,0.256661,0.5,13.1291
4.55031,0.231374,0.5,13.2411
4.60029,0.205968,0.5,13.3532
4.65027,0.180455,0.5,13.4655
4.70024,0.154849,0.5,13.5778
4.75021,0.129163,0.5,13.6901
4.80017,0.10341,0.5,13.8025
4.85013,0.0776044,0.5,13.915
4.90009,0.0517584,0.5,14.0275
4.95004,0.0258859,0.5,14.14
5,-3.46945e-18,0.5,14.2526
