x,y,v,t
0,0,0.422844,0.0
0.0656913,0.0436168,0.422844,0.186482
0.131147,0.0873295,0.422844,0.372625
0.19613,0.131234,0.422844,0.558095
0.260406,0.175427,0.422844,0.742565
0.323737,0.220004,0.422844,0.925722
0.385889,0.26506,0.422844,1.10727
0.446625,0.310693,0.422844,1.28693
0.50571,0.356997,0.422844,1.46446
0.562907,0.404069,0.422844,1.63964
0.61798,0.452006,0.422844,1.81231
0.670693,0.500902,0.422844,1.98235
0.720811,0.550854,0.422844,2.14969
0.768098,0.601958,0.422844,2.31435
0.812317,0.654309,0.422844,2.47642
0.853232,0.708005,0.422844,2.63607
0.890608,0.76314,0.422844,2.7936
0.924209,0.819812,0.422844,2.94941
0.953799,0.878115,0.422844,3.10403
0.979141,0.938145,0.422844,3.25813
1,1,0.422844,3.41251
1,1,0.422844,3.41251
1.01196,1.04488,0.422844,3.52234
1.02171,1.09065,0.422844,3.63302
1.02942,1.13726,0.422844,3.74476
1.03524,1.18466,0.422844,3.85769
1.03933,1.23277,0.422844,3.97188
1.04184,1.28155,0.422844,4.08738
1.04294,1.33092,0.422844,4.20418
1.04279,1.38083,0.422844,4.32222
1.04153,1.43122,0.422844,4.44143
1.03933,1.48204,0.422844,4.56171
1.03634,1.53321,0.422844,4.68293
1.03272,1.58468,0.422844,4.80495
1.02863,1.63639,0.422844,4.92762
1.02423,1.68827,0.422844,5.05077
1.01966,1.74028,0.422844,5.17424
1.0151,1.79235,0.422844,5.29785
1.0107,1.84441,0.422844,5.42142
1.00661,1.89642,0.422844,5.54478
1.00299,1.9483,0.422844,5.66778
1,2,0.422844,5.79025
1,2,0.5,5.79025
0.997758,2.05147,0.5,5.89329
0.996225,2.10272,0.5,5.99583
0.99532,2.15374,0.5,6.0979
0.994966,2.20456,0.5,6.19954
0.995084,2.25519,0.5,6.3008
0.995595,2.30564,0.5,6.40171
0.996421,2.35593,0.5,6.50229
0.997483,2.40606,0.5,6.60257
0.998702,2.45604,0.5,6.70257
1,2.5059,0.5,6.80231
1.0013,2.55563,0.5,6.90182
1.00252,2.60527,0.5,7.00112
1.00358,2.6548,0.5,7.10021
1.0044,2.70426,0.5,7.19914
1.00492,2.75365,0.5,7.29793
1.00503,2.80298,0.5,7.39659
1.00468,2.85227,0.5,7.49517
1.00378,2.90153,0.5,7.59371
1.00224,2.95077,0.5,7.69223
1,3,0.5,7.79079
1,3,0.5,7.79079
0.997011,3.04924,0.5,7.88945
0.993393,3.09849,0.5,7.98822
0.989303,3.14777,0.5,8.08712
0.984899,3.19709,0.5,8.18614
0.980337,3.24645,0.5,8.2853
0.975775,3.29588,0.5,8.38456
0.97137,3.34537,0.5,8.48394
0.96728,3.39494,0.5,8.58343
